"","age_under_5_2017","age_over_65_2017","median_age_2017","white_2010","black_2017","no_move_in_one_plus_year_2010","speak_english_only_2017","hs_grad_2017","bachelors_2017","computer_2017","homeownership_2010","per_capita_income_2017","poverty_2016","employed_2015","uninsured_2017","fed_spending_2009","density_2010","log_incident_rate"
"599",5.9,16.1,40,88.2,4.29,86.1,96.7,92.3,26.2,86,74.5,30282.72,13.3,124983,5.5,2118394,376.3,-8.65676334101726
"600",5.3,18.7,43.8,95.5,1.12,86.4,98,87.5,13.9,83.1,74.7,25077.69,17.2,46486,8.7,905673,202.7,-10.168276759069
"601",6.9,10.5,29.9,64.2,11.24,76.1,89,91.3,42.9,90.6,39,33135.25,14.6,12652,10.8,385858,2326.2,-8.23255536941728
"602",5,19.4,44.7,88.9,2.42,89.5,97,88,18.1,85.4,82.8,27843.09,12.9,22765,8.7,280884,106.7,-9.34243531673662
"603",5.3,20.5,46.3,56.8,21.31,92.1,98.4,68.6,9.2,61.3,81,15825.36,23.5,2695,16.5,116762,25.2,-8.46143883344517
"604",7.2,10.5,34.2,66.6,7.95,80.9,71.6,85.4,31.1,91.7,63.4,30099.65,13.6,949513,17,8195152,2094.7,-9.01728054185208
"605",7.1,15.7,37.1,67.2,14.51,87.1,95.6,82.2,18.4,75.2,73.7,20427.78,20.5,24960,12.3,519040,97.5,-8.28231438388361
"606",6.8,10.3,30.4,47.1,21.01,76.4,89.2,87.5,27.3,88.2,46.6,25911.51,21.3,104347,13.8,6061748,4486.4,-7.41840563315202
"607",6.4,19.4,40.9,86.1,0.29,86.2,85,86.2,19.8,84.9,67.5,25213.22,14.2,12295,9.4,275377,10.6,-9.75170490005101
"608",6.5,15.8,39.3,90.6,2.86,83.9,95.2,87.6,16.8,85.9,78.2,29223.88,10.8,23562,15.1,318462,61.3,-10.0197716876243
"609",6.9,12.5,35,79.9,4.85,83.6,88,89.8,34.7,89.4,71.3,29204.55,12.1,329042,7.4,3493268,711.5,-8.74608881643827
"610",3.2,31.8,54.7,92.1,0.36,91.2,95.9,94.7,22.9,87.3,90.2,34648.05,7.8,1734,8.8,10375,15.3,-8.04974629095219
"611",4.4,20.1,46.4,97.1,0.4,86.1,95.4,91.8,30,85.6,70,28699.56,13.3,29925,5.4,582726,66.3,-8.40928435817824
"612",6.5,10.4,37.2,92.8,0.76,89.8,92.9,96.1,47.5,93.3,83.6,44298.19,4.3,53436,3.5,287352,256.9,-10.3302247959198
"613",5.4,14,37.4,78.6,9.63,83.6,99.1,82.6,15,78,77.4,21297.23,20.3,5935,12.6,130399,39.9,-8.9865021349793
"614",5.2,21.9,43,89.9,1.12,84,90.2,83,12.7,68.8,75.4,18556.88,20,7652,21.7,181421,20.1,-10.1011491798356
"615",4.7,22.5,47.6,88.8,3.57,89.4,95.9,79.1,9.1,69.5,81.6,21183.91,25.4,5239,17.5,129524,23.3,-9.29858016082559
"616",6.4,15.1,41.2,96.5,0.78,88.2,97.9,76.6,12.6,75.9,72.5,19909.09,30.9,8209,8.8,416826,84.5,-8.82325224305776
"617",3.8,35.5,55.9,93,1.47,87.4,94.1,87.4,17.8,86.4,84.6,24463.06,16.6,44217,11.5,1275549,242.8,-9.88258086771681
"618",5.3,15.9,42.7,97.5,0.41,88.1,97.8,90.8,21.7,87.7,77.2,29989.31,8.2,23920,7.3,280163,164.1,-9.71154486069812
"619",4.9,23.7,48,91.5,0.16,86.4,92.1,89.9,20.7,85.8,69.2,25026.97,12.9,10749,9.3,245110,22.9,-10.4521868287302
"620",5.6,19.3,42.1,97.3,0.76,83.4,98.4,81.4,14.1,81,70.6,20993.55,19.1,12362,13.2,311373,36.4,-10.5829751983101
"621",4.5,20.3,45.6,90.3,3.12,89.6,92.3,85.9,22,83.1,73.6,26698.85,16.4,19665,5.7,342578,76.1,-9.51897462082336
"622",6.1,16.8,39.9,66.7,15.06,87.2,94.8,76.6,12.2,72.3,74.4,18635.43,27.8,15769,15.4,477065,70.4,-8.49483456348968
"623",2.6,22,47.1,54.5,17.87,75.2,91.3,74.4,7.6,67.8,76.5,18774.34,27.3,1400,17.3,46218,11.3,-7.91016254314736
"624",5.5,16.2,38.1,66,14.48,81.4,97.7,85.5,18.4,82.2,66.6,19760.29,18.2,7092,16.7,117184,99.8,-9.81861026040303
"625",5.8,16.2,39.7,71.1,9.49,82.9,87.3,84.9,22.9,85.2,68.1,25374.9,16.1,73147,12.9,925521,356.5,-8.01873574155633
"626",6.5,17.1,40,85.7,5.71,85.2,97.4,83.5,13.6,79.8,69.6,22621.12,18.4,19007,12,373548,93.3,-8.19061233848142
"627",5.4,15.9,39.5,66.8,14.88,90.9,87.2,73.6,10.3,76.3,84.2,25552.69,21.2,9044,12.9,168714,69.2,-7.81004576040886
"628",6.6,17.8,39.9,59,18.74,90.2,98.8,81.5,15.6,74.7,78.6,24422.75,26.3,3651,13.2,86953,23.4,-9.35444071594994
"629",6.4,14.2,38.2,71.6,9.75,82.5,90.6,79.6,13.1,78.1,72,21279.34,21.4,8224,11,214479,33.8,-9.74742810773106
"630",7.8,8.7,31,77,2.12,74.7,89.4,94.6,33.1,93.8,59.8,34968.82,8.5,43929,10.2,1644275,13.3,-7.40429665080162
"631",6.5,22.5,45,83.2,0.02,90.5,88.8,96.6,34.7,93.5,74.5,37141.41,10.3,982,19.4,28489,1.1,-7.83676478326407
"632",7.2,18.2,39.4,82.6,1.45,84.2,79.7,79,14.6,85.8,79,26572.73,13.4,2710,21.3,52513,5.9,-10.0112651447096
"633",5.8,16.3,41.1,65.4,7.56,87.6,72.8,86.3,26.6,87.2,70.7,29583.02,14.2,115665,11.1,2261114,494.1,-7.94204998104828
"634",5.8,16,40.6,85.1,5.24,85.8,92.8,87,21.5,83,66.3,30033.07,13.2,72616,7,1163510,322.1,-8.89576827439053
"635",4.9,24.2,49.2,98.2,0.07,91.7,98.6,89.6,14.2,81,78.4,27832.02,11.7,3523,7.2,82417,19.3,-8.43645301834803
"636",4,21.3,43.3,37.3,30.91,84.1,97.7,69.1,6.8,57.5,71,16563.71,28.8,547,17.8,21834,8.8,-8.10076824307173
"637",7.2,17.5,38.2,76.2,0.24,90.5,66.5,85,19.2,69.1,75.7,18234.81,22.7,3392,14.2,78449,6.4,-9.69710893114838
"638",6.7,16.1,40.6,92.9,2.16,86.1,91.6,74.9,12.6,72.4,75.2,19597.19,21.8,7375,12.3,161622,44.2,-8.9118265136372
"639",6.4,14.6,38,73.8,9.11,82.2,88.7,87.3,33.3,85.4,68,28744.19,10.9,230986,12.2,4027788,574.7,-8.51888441871264
"640",5.2,19,42.7,40,26.4,88,96.9,76.9,14,73.4,64,20399.58,27,18941,12.3,633852,75.5,-7.72487403608523
"641",5.6,14.6,40.2,87.6,3.3,87.6,93.8,88.8,30.5,90,77.8,33754.62,10.1,26548,6.9,500076,255.2,-10.1201434377148
"642",5.7,21.7,44.8,77.3,8.14,87.4,90.7,79.6,12.5,75.9,77.8,18009.06,21.5,25183,16.8,705664,102.2,-8.19494727905882
"643",6.4,16.9,39.8,91.9,1.02,81.5,95.6,85.1,18,80.4,72.8,22888.49,15.9,14656,11.4,301757,48,-9.20130635451298
"644",9.1,12,31.8,77.8,0.58,83.7,47.4,73,14.2,79,65,20222.7,17.1,8511,18,148277,12.9,-10.1344273010411
"645",8.8,10,30.6,61.4,11.34,73.3,80.9,90.7,24.2,90,58.2,24098.58,12.9,129832,12.3,8688950,295.2,-8.18469674456202
"646",7.1,11.8,35.7,79.1,5.25,81.3,83.3,86,20.7,87.5,77.6,25344.84,11.4,52780,15.3,616312,132.4,-9.5862135939622
"647",4.4,22.3,48.1,96.9,0.4,89.2,96.7,94.2,32.4,86.6,76,31439.01,11,27442,12.5,549752,34.3,-9.29522365284135
"648",6.6,12.8,33.4,48.8,22.87,81.5,91.6,90.2,34.5,86.3,61.6,29116.48,19.9,222699,10.7,8980714,966.6,-7.59441986885493
"649",4.5,22.9,49,76.3,0.04,89.5,96.1,87,17.5,77.6,71.6,21706.22,21.3,2223,10.2,63435,3.4,-10.3171522849872
"650",7,13.1,34,81.2,6.7,77,94.4,88.3,26.5,87.6,61.2,25814.29,16.2,48745,10.8,652407,136.4,-7.36384440994657
"651",6.4,13.5,37.9,91.3,0.63,88.3,93.3,93.8,28.3,89.2,72.7,30814.86,8,97992,5.2,924666,277.2,-9.8982250813435
"652",6.2,21.3,43,95.2,1.18,90.8,97.9,87.8,15.3,76,76.5,20160.8,16.3,7075,10.9,143878,19.4,-9.92201485715001
"653",6,12,32,58.9,17.31,75.1,93,89.3,30.9,86.3,55.3,25548.99,21.5,82376,12,1048220,257.9,-7.60654701041265
"654",5.4,18.7,42.6,97.3,0.16,87.8,97.8,89,16.1,81.1,78.6,24904.92,13.7,18949,9.5,352956,102.7,-9.40625797117013
"655",6.2,18,41.4,97,0.54,87.8,91,85.5,12.6,77.8,74.6,21222.22,12.7,14841,12.9,239058,65.4,-9.81392519729373
"656",5.9,17.2,41.2,95.2,0.3,89.7,95.9,92.4,17.4,87.5,79.4,27697.54,8.3,12790,4.5,211505,67.8,-11.6037894112753
"657",5.6,10.6,28.1,67.2,14.32,75.1,95,86.7,27.9,87.2,55.6,22535.34,24,32636,14.1,326279,104.4,-7.3279388870146
"658",5.2,17.2,38.1,88.9,4.34,79,98,84,20.8,80.5,66.1,20876.42,20.8,14510,9.6,303635,60.3,-9.0384987087626
"659",6.2,11.1,34.7,63.6,10.46,78.7,64.7,88.2,32.7,91.8,59.9,26636.69,16.3,651611,16.2,10290867,1268.5,-8.22574782346652
"660",5.8,11.8,40,74,0.07,75.2,91.7,95.9,32.7,92.3,71.8,30746.27,9.2,4465,16.6,127855,0.3,-8.33281619030987
"661",5,19.3,44.5,97,0.2,90.5,97.7,89.4,14.8,82.5,83.1,25805.26,13.2,8254,5.9,104174,31.1,-11.0625362100081
"662",6.6,17.2,39.2,68.5,2.4,82.7,95,84.1,13.9,76.8,72.4,19144.36,22.6,8949,20.3,289495,40.3,-9.5748941958636
"663",5.3,19.5,43.3,93.9,0.74,86.6,94.9,87.1,16,70.3,82.8,20683.66,14.9,5483,22.1,104324,15.1,-9.3020440561864
"664",5.1,18.9,42.4,95.1,3.01,87.8,98.1,86.7,14.4,80.8,77.8,27474.11,16,11126,5.8,237854,42.8,-10.2797040602852
"665",6.8,15.8,39,59.2,18.11,86.1,93.6,81.4,10.2,70.7,62.4,15825.19,26.4,4984,18.3,147973,70.5,-9.19496564134615
"666",6.3,17,40.2,92,1.09,86.7,96.1,86.6,18.9,83.4,72.3,25145.34,14.3,22909,10.6,986542,123.1,-9.5799572071897
"667",6.9,12.2,35.9,91.9,2.99,89.3,96,85.3,17.4,87.9,80.4,26574.64,12.6,64895,11.5,516405,197.5,-9.25001635158156
"668",5.8,18.3,41.9,94.7,1.25,84.7,98.4,88.8,19.4,86,69.2,27168.72,18.2,16877,8.6,615758,309.9,-9.28277472218345
"669",7.1,16.3,36.6,73.5,0.25,91.1,21.4,75.4,22.1,79.8,71,19324.75,20.9,17520,12.6,445037,38.3,-10.5183812571257
"670",5.5,15.9,37.3,28.7,35.65,86.1,99.8,69.8,14.9,66.6,75,12639.07,35.1,2577,18.6,83391,14.6,-9.3948539689381
"671",7.2,11.4,33.3,72.9,3.77,80.2,59.9,83.7,27.3,87.3,62.5,24880.41,16.3,844697,15.9,19444429,1383.1,-8.46973915670007
"672",5.9,14,37.7,81.4,7.64,87.1,93.3,81.8,8.5,73.6,78.1,20013.08,21.5,7866,10.7,198875,34.7,-10.7059710846335
"673",8.1,10.8,31.7,75,1.89,82.7,60.1,72.9,13.1,82.2,71,24422.37,18,27941,15.9,391279,14.7,-9.17292850463309
"674",5,21.1,45.1,95.4,0.87,83.9,98.2,87.3,19.5,76.1,80.4,32259.24,10.9,3151,10.7,28557,49.2,-10.1358286762044
"675",4.6,25.6,50.9,88.6,0.35,80.7,95.9,93.5,23,83,64.8,27385.58,12.9,2836,9.3,127566,4.1,-10.2072152034064
"676",4.8,22.8,48.6,97.6,0.52,85.3,97,87,14.8,78.9,76.1,24130.04,13.8,6619,10.1,128909,16.2,-9.84672317869928
"677",5.4,20.8,45.2,93.4,0,79.5,91.1,87.7,16.9,85,79.4,19479.31,17.9,7128,17.3,121674,29.8,-9.51325582506855
"678",6.2,16.8,40.4,66.7,16.61,90.1,99.2,81.4,13.8,66.3,81.6,20784.41,19.7,4403,16.4,136136,30,-8.43616060003004
"679",5,22.3,47.9,98.4,0.01,85.4,98.2,75.3,10.6,74.4,77.6,18587.12,21.8,2412,9.7,79292,27.3,-8.91254062133612
"680",5.4,16.7,38.6,80.6,4.78,80,88.6,91.4,52.3,91.3,65.4,41397.54,8.5,51809,7.6,782468,137.3,-9.62333421079074
"681",6.1,16.3,39.4,86.9,4.47,82.3,95.3,81.9,12.7,79.8,76.6,22632.35,17.3,7544,17.1,132825,59.3,-11.2473309889825
"682",5.3,18.3,43.7,97.4,0.1,90.7,98.7,81.9,10.4,75.4,83.8,18054.58,17.2,4621,8,92196,35.1,-9.26792508382711
"683",3.2,27.4,52.6,93,1.36,88,94.8,87.2,12.5,80.3,82.2,24615.09,13.9,7730,6.4,154229,32.3,-9.90519858787991
"684",8.9,18.1,36,65,0.03,84.4,94.1,87.3,17.2,70.6,68.8,21546.45,21.7,3840,20.7,121685,8.3,-8.45022505448445
"685",5.5,16.5,42.3,89.7,2.22,85.6,93,88.9,32.8,89.5,72.8,30794.86,12.1,13746,7.6,139991,132.1,-9.35300630624267
"686",6.3,16.6,42.1,97.1,0.95,87.5,99.6,74.4,9.2,74.7,77.1,19700,28.2,6278,6.7,378598,63.4,-9.11280772431876
"687",6.5,12,36.2,53.8,21.63,82.9,93.6,85.2,19.9,89.3,76,23194.81,17.5,45165,12.9,457572,367.3,-8.82828617423299
"688",7,8,27.6,77.5,6.23,58.7,89.7,90.5,25.8,89.1,56.2,21387.28,14.2,14025,10.8,1667610,95.5,-9.69739964634526
"689",5,24.8,48.8,83.8,0.34,85.2,77.6,88.6,20.5,74.9,68.1,21533.02,21.4,5652,9.6,154150,3.7,-9.20138035060467
"690",6.5,15,39,94.5,1.43,86.3,98.3,83.6,17,81.8,68.7,20995.4,17.9,11027,10,194049,134.3,-10.2266393214816
"691",11.7,9.6,28,21,0.06,88.1,85.9,84.6,14.6,58.5,56.9,16336.73,27.5,2025,29.9,90427,2.3,-8.25005421278836
"692",6.2,10.3,29.9,85.6,3.19,71.5,86.7,95.1,52.7,93.7,60.3,34562.87,17,81687,6,1124045,213.1,-8.79769614647158
"693",5.6,19.8,42.3,90.9,3.86,79.8,98.7,84.4,23,79.5,61.8,21893.78,23.6,7110,11.2,230494,1370.6,-8.82448669641706
"694",5.5,19.9,43.3,90.9,1.34,86.7,92,83.8,16.6,82.2,78.1,24354.95,14.8,23105,17.9,337446,62.4,-9.50914319156185
"695",4.2,14.6,32.8,87.1,0.5,74.6,86.1,95.4,53.8,94.7,57.2,32057.56,18.4,43515,6.3,600481,126.6,-9.41344728240827
"696",4.6,23.7,48.6,39.2,28.53,88.4,97.5,78.1,12.8,68,74.8,20013.96,22.4,7273,14.8,280335,41.2,-8.30963997677312
"697",5.6,11.6,29.7,73.4,6.54,71.9,82.7,95.1,43.9,91.2,55.9,29619.49,18.9,99199,5.8,1410523,201.8,-7.79056536009464
"698",6.5,18.6,41.2,95.1,0.45,85.8,97.2,90.2,20.8,82.1,73.9,24359.09,11.1,9028,7,185731,23.3,-9.0463170434636
"699",6.3,14,37.2,77.3,10.01,83.1,95.7,89.7,29.2,89.2,75.8,29536.02,9.5,69983,9.8,724576,182.6,-8.96243496866162
"700",6.8,11.2,35.8,78.1,3.09,80.4,79,93,40.2,94.9,70.3,32893.58,5.8,254693,10,2069520,378,-9.97925140742328
"701",10.3,10.7,28.4,62.5,0.29,86.3,45.1,65.2,13.6,77,63.9,18090.18,19.5,8018,19.5,155696,9.7,-9.64426335290083
"702",6.4,18.5,40.5,48.4,25.48,91.4,98.5,80.4,17,61.4,66.3,17491.34,31.4,4056,18,115188,21.5,-9.02369749169867
"703",6.1,18.9,42.1,96.1,0.33,86.4,97.4,85.8,13.7,82.4,77,23894.92,15.4,12056,12.3,212253,57.9,-9.11907201299819
"704",3.8,23.7,50,97.2,0.11,84,95.1,93.9,31.1,84,72.9,30660.79,10.3,5218,10.3,71786,4.9,-9.95242056364531
"705",6,16.5,40.5,82,6.8,82,96.5,83.5,18.1,80.8,65,24957.2,20,15443,9.8,390990,74.8,-8.09417271164908
"706",6.8,12.9,36,74.2,3.35,80.2,85.8,91.2,26,91,63.3,30647.35,12.1,366996,8.1,10024949,476.3,-8.99627897174359
"707",5.2,22.9,49.1,96.1,0.41,86.5,92.5,90.5,15,81.4,76.7,23387.28,17.4,2302,10.6,39769,2.4,-8.44042013261032
"708",8,16.9,37.2,88.7,1.92,83,95.2,83.3,17,81.6,54,18544.84,23,1612,9.7,66306,529.1,-8.58814858034989
"709",5.7,23.6,47.6,65.9,13.31,89,94.6,86.4,21.1,81,76.1,31900,14.8,8439,12.6,180764,76.1,-10.4692416055737
"710",5,25.6,47.3,96,0.28,86.1,98.2,82.8,10.5,76.3,80.8,20732.03,21.3,5591,10.5,170626,28.6,-8.42163631451802
"711",4.7,17.7,42,95.6,1.75,86.5,97.3,76.5,7.5,67.1,79.9,16364.02,30.7,1912,7.2,91892,33.5,-9.21409996251733
"712",5.8,22.2,46.6,88.2,1.37,91.9,94.3,81.9,14.4,78.2,71,25460.17,20.1,2879,24.1,114975,7,-10.4217454881194
"713",4.6,19.3,41.5,89.2,4.06,84.3,95.7,89.5,18.2,78.4,70.8,24207.69,17.2,30133,5.9,979720,177,-9.279562353018
"714",6.3,18.9,40.2,54.7,21.46,85.7,93.8,76.5,13.5,74.6,64.4,21130.77,30.4,2976,16.6,88312,31.3,-8.76333426092315
"715",6.6,17.6,39.9,79.3,0.24,87.1,75.1,82.9,26.3,87.4,68,26498.52,11.5,40246,10.9,527441,24.8,-10.2199227187971
"716",5,17.4,44.4,71.8,11.14,90.7,96.7,87.6,26.9,85.6,81.1,32769.17,9.5,17941,6.9,241012,111.8,-9.48604877254565
"717",5.4,16.1,41.4,98.3,0.2,90.8,98.5,73.4,12.9,73.5,74.9,17653.09,38.2,4337,9.4,228555,46.5,-8.84379144347618
"718",6.4,20.3,40.1,82.3,6.65,89.3,90,90.5,23.6,81.8,65.8,27028.57,10.4,8256,10.5,379828,2315.3,-8.52317526309379
"719",5.5,24.1,46.5,89.9,0.71,85,85.8,84.2,18.4,83.3,75.4,25905.2,15.8,7692,18.5,161553,18.5,-11.183240145038
"720",6.2,19.6,40.3,74.9,0.41,84,96.8,81.9,12.9,74.5,76.7,19408.05,21.1,4124,20.6,139535,22.1,-10.1439404293729
"721",6.3,15.1,34.9,85.6,4.44,79.1,92.2,91.1,27.5,85.6,69,28049.79,16.1,67294,6.1,972969,231.7,-6.97182838622024
"722",8.4,11.9,29.1,90.7,0.29,76,92.5,92.5,28.7,92.4,63.2,19136.81,18.4,19470,14.5,230734,14,-9.47774830598787
"723",5.6,19.5,43.5,77.5,10.03,90.5,98.8,84.9,20.6,75.3,76,25632.05,13.9,6694,8.5,87173,44.9,-9.2430334159227
"724",5.9,13.6,37.1,83.7,6.89,86,96.3,84.2,13.1,84.4,76.2,23060.26,17.2,10549,12.1,150151,46.3,-9.04949425069904
"725",5.3,17,41.9,96.4,0,86.8,98.2,82.6,11.8,85.6,78.9,26190,14.8,3595,7.4,56363,58.1,-9.76039632423384
"726",5.9,12.8,37.9,83.8,3.76,84.5,88.7,90.4,25.1,88.4,68,28908.91,13,83085,7.7,1045482,611.9,-9.25928974966095
"727",8.1,18.7,38.2,61.7,0.24,92.4,97,88.2,17.5,77.4,70.7,25187.64,17.9,4645,20.8,130063,9.2,-9.52276383631641
"728",5,15.2,41,89.6,1.12,86.4,87.5,88.4,24.4,87.3,70.8,30299.2,11.9,58905,5.3,1124175,230.9,-9.22274356811654
"729",4.8,20,43.4,75,8.01,90.4,96.6,86.3,15.5,78.5,75.5,24443.95,16.5,2991,6.8,84605,9.9,-10.4397469775589
"730",6.8,15.1,36,48.2,23.51,90.2,94.4,83.2,19.5,81.6,66.8,21668.9,20.4,41356,12.5,1396370,161.6,-8.43687374294454
"731",3.7,27.1,52.3,96.6,0.35,90.2,96.2,93.8,32.7,87.2,77.6,35429.61,8.3,14465,4.3,295533,57.6,-10.2183804057931
"732",5.6,14.3,41.4,68.6,12.82,81.6,89.5,77.2,8.6,76.4,75.9,16552.69,27.2,4463,19.5,82855,15.7,-10.1599498190432
"733",5.9,27.1,48.9,56.6,17.96,88.9,93.4,82.4,25.6,78.7,75.2,32398.77,18.2,6376,15.2,136286,41.3,-11.1181035169605
"734",7.9,18.2,39.2,94.1,0.13,82.4,91.5,91.8,26.4,80.8,70.4,27213.31,11.4,5077,9,83395,13.1,-8.61419025931279
"735",5,18.1,42,93.7,2.43,87.1,98.1,79.9,11.3,74.4,79.4,19679.47,19.6,10833,8.3,399010,67.4,-8.89832542614169
"736",4.9,20.9,45,94.1,1.66,88.8,97.3,90.8,20.9,79.1,73.8,26091.07,15.6,58242,5.6,2544973,208.7,-8.89638276811214
"737",10,7.2,24.5,89.4,0.3,77.5,86.1,94,39.4,96.4,69.4,23285.6,11.4,257951,9.3,1924110,257.8,-10.139953701749
"738",6.1,19.1,41.4,83.4,0.42,84.4,83.3,89.3,25.6,89.6,70.1,30078.26,11.3,52843,9.5,819850,67.5,-9.88395808792762
"739",6.3,19.8,43.9,95.7,0.76,83.1,98.2,84.2,12.9,76.5,76.8,22672.41,15.6,5425,9.9,108175,22.8,-9.13198956556351
"740",6.8,13.6,35.9,69.7,12.11,78.9,92.8,87,22.2,83.2,66.5,22829.76,20.5,80568,16.9,2473139,326,-7.95489447903361
"741",6,14.1,37.2,57,16.86,83.5,86.9,88.9,34.9,84.6,62.9,28504.02,18.3,241229,11.3,3504160,756.4,-8.09072987817116
"742",6,15.2,39.6,97,0.35,83.7,98.8,78.9,13,78.3,74.2,19807.39,23.2,22022,8.3,484893,135.6,-8.3988850178991
"743",6.4,14.5,38.8,87.1,3.34,85.9,95.3,88.5,20,85.5,71.2,25707.72,10.5,56244,10.1,857209,295.6,-8.91567916320113
"744",12.4,6.9,24.4,9.6,0.16,87.6,85.1,78,16.2,62.1,40.6,10602.22,48.6,2819,30.1,176903,6.9,-8.40165762830033
"745",5.2,18.9,41.2,90.9,3.13,79.3,96.9,91.5,21.2,83.9,70.4,28902.26,15.7,16129,5.4,298092,62.5,-9.52672651255632
"746",5,17.8,40.5,26.8,36.06,90.2,99.2,79.1,12,60.4,76.8,14415.88,31.9,2410,14.9,159172,13.1,-8.2813787938185
"747",5,17.8,42,86.3,2.69,85.8,87,90.6,28.8,86.3,75.4,33031.37,9.3,148341,6.4,2489176,805.4,-8.89042797209577
"748",5.2,17.7,43,88.5,3.6,89,95.9,91,23.5,82.2,70.9,28193.67,12.6,95451,4.9,1728686,414.4,-8.09129889822709
"749",5.3,14,39.8,75,11.07,81.1,93.8,75.9,8.3,72.7,69.5,19571.15,24.7,4505,12.3,82638,63.8,-9.63787677383966
"750",5.1,20,44.4,95.7,1.53,91.6,97.1,75.7,11,72.2,74.5,22617.21,20.4,4752,6.8,104402,39.4,-10.0002512209684
"751",4.3,23.9,50,97.3,0.52,91.7,94,84.8,14.7,76.5,83.9,22403.96,15.7,2596,6.9,75425,9.5,-9.42625787819865
"752",7.2,16.2,39.3,73.4,8.93,91.2,90.4,75.1,11.5,74.1,72.6,19438.06,19.7,8040,17.5,137882,36,-10.5181054629314
"753",4.3,17.8,44.5,93.6,2.02,91.8,95.5,73.2,12.4,72.8,76.7,19858.1,23.8,3906,15.7,100097,31.7,-10.2788026836934
"754",6.3,13.1,37.5,93.7,0.75,88.5,91.9,93.3,22.6,90,76.8,32196.96,7.9,23722,5,228436,119.8,-10.1339988948956
"755",5,21.5,45.8,55.8,21.17,92.1,98.9,80.1,11.6,70.4,85.6,20363.87,22.7,3980,11,147465,15.2,-8.56682109981806
"756",5.9,19.6,43,86.8,4.95,86.9,98.2,81,15.8,74.6,77.3,20990.83,18.3,11157,9.4,324804,47.6,-9.54766046335266
"757",5.4,18.9,42,51.9,23.65,90.5,98.5,79.1,15.9,70.6,79.3,23151.44,23,6500,12.2,156503,31.6,-8.90454863835202
"758",4.4,26.2,51.1,97.4,0.02,95.9,98.4,84.6,13.6,71.9,82.4,18520.35,25.3,3358,14.1,99283,13.1,-9.42402600451583
"759",5.7,20.5,43,88.7,0.32,79.6,90.5,89.3,26.8,89,63.3,26762.81,14.6,91391,9.7,1517561,73,-8.28610303301108
"760",6.5,20.6,44.6,93.5,0.18,89.4,90.7,87.3,16.8,77.9,74.2,31495.39,11,5347,6.7,133246,8.7,-10.680883965541
"761",7.5,13.2,30.7,78.1,1.53,76.9,87.4,87.1,26.5,88.2,65,24922.05,18,15020,15.6,190783,27.8,-9.36434818445553
"762",6.6,15.4,37.9,66.9,9.54,88.7,82.4,82,21.2,82.6,70.4,22977.86,16.9,24208,14.8,440973,227,-8.41456687990582
"763",6.1,19.1,41.3,90.1,0.19,83.1,95.9,92,22.7,87.2,67.6,26638.91,14.9,19831,10.1,372692,46.3,-9.040251063669
"764",5,18.2,43.4,95.3,0.92,86.2,96.7,87,17.7,83.7,69.8,26470.51,15,22064,7.2,377112,112.1,-9.79535003643118
"765",4.3,27.5,51.4,99.2,0.1,88.4,98.3,96.1,19.5,77.8,79.4,26066.82,12.8,1165,6.2,16923,3.6,-8.99118884193151
"766",4.8,15.5,34.5,94.4,0.74,81.6,94,92.8,29.6,87,71.5,27940.16,11.5,28500,6.5,315728,82.2,-8.96591916373657
"767",5.2,17.4,40.9,76.4,9.6,85.3,95.6,78.2,10.4,72.8,77.3,21131.03,18.6,10226,15,299076,97,-9.63531861636907
"768",5.4,17.8,42.5,97.4,0.89,85.9,97.9,91.3,25.1,84.3,78.6,28126.8,9.7,9512,7,100545,40,-10.0502682837443
"769",4.6,21.1,46.6,95.3,1.18,90.7,97.3,93.6,28,82.5,76.5,32201.74,9.8,173042,4.4,3286560,355.4,-9.19180552002347
"770",4.8,18.8,42.7,96.9,0.5,87.8,97.9,78.6,13,70.3,77.3,20361.8,25.4,11677,8.6,344551,74.1,-9.95399053470923
"771",7.4,12.8,34.8,42.8,16.5,90.7,54.1,80.7,35.2,84.1,30.3,29375.27,20.6,1156891,9.5,79508143,35369.1,-8.94078019219552
"772",6.2,15.7,37.7,54.8,21.43,79.8,97,86.2,20.1,77.8,66,23268.92,23.7,29585,13.3,749627,114.1,-6.7666003277143
"773",5.5,20.2,43.1,86.6,0.07,76.3,63,85.1,35.7,81.1,60.6,24729.31,14.9,3753,19.3,91608,1.5,-8.90414124552465
"774",5.4,15.2,37.5,85.5,6.59,87.1,98.2,86.4,11.3,79.4,78,23221.67,18.6,5777,7.4,349009,43.8,-8.79665826326299
"775",7.3,10.1,34.9,84.9,0.56,83.8,92.9,92.1,20.6,93.4,79.2,27306.48,9.5,42698,16.3,434891,3.6,-7.80548682573423
"776",8.1,11.6,32.4,68.4,1.66,76.8,75.9,82.1,16.4,89.5,59.8,22755.48,16.6,25301,10.2,873742,114.2,-9.08537387635249
"777",5.6,16.2,40.6,95.2,1.02,83.7,98.3,89,17.4,83.4,71.8,27238.89,13.4,14583,9.1,268022,89.9,-10.1586025273598
"778",5.9,15.3,38.7,75.3,0.53,83.2,95.4,91.7,23.5,89.5,78.9,30074.62,9.1,42651,11.5,512098,128.6,-8.86697699491332
"779",6.7,17.5,40.3,78.5,8.88,85.2,98.3,84.6,17.8,79.1,72,21814.06,16.9,19447,9.1,638712,82.4,-8.01544419883795
